,account_length,voice_mail_plan,voice_mail_messages,day_mins,evening_mins,night_mins,international_mins,customer_service_calls,international_plan,day_calls,day_charge,evening_calls,evening_charge,night_calls,night_charge,international_calls,international_charge,total_charge,churn
0,128.0,1.0,25.0,265.1,197.4,244.7,10.0,1.0,0.0,110.0,45.07,99.0,16.78,91.0,11.01,3.0,2.7,75.56,0
1,107.0,1.0,26.0,161.6,195.5,254.4,13.7,1.0,0.0,123.0,27.47,103.0,16.62,103.0,11.45,3.0,3.7,59.24,0
2,137.0,0.0,0.0,243.4,121.2,162.6,12.2,0.0,0.0,114.0,41.38,110.0,10.3,104.0,7.32,5.0,3.29,62.29,0
3,84.0,0.0,0.0,299.4,63.54999999999997,196.9,6.6,2.0,0.0,71.0,50.9,88.0,5.4,89.0,8.86,7.0,1.78,66.8,0
4,75.0,0.0,0.0,166.7,148.3,186.9,10.1,3.0,0.0,113.0,28.34,122.0,12.61,121.0,8.41,3.0,2.73,52.09,0
5,118.0,0.0,0.0,223.4,220.6,203.9,6.3,0.0,0.0,98.0,37.98,101.0,18.75,118.0,9.18,6.0,1.7,67.61,0
6,121.0,1.0,24.0,218.2,338.35,212.6,7.5,3.0,0.0,88.0,37.09,108.0,28.759999999999998,118.0,9.57,7.0,2.03,78.31,0
7,147.0,0.0,0.0,157.0,103.1,211.8,7.1,0.0,0.0,79.0,26.69,94.0,8.76,96.0,9.53,6.0,1.92,46.9,0
8,117.0,0.0,0.0,184.5,338.35,215.8,8.7,1.0,0.0,97.0,31.37,80.0,28.759999999999998,90.0,9.71,4.0,2.35,73.32,0
9,141.0,1.0,37.0,258.6,222.0,326.4,11.2,0.0,0.0,84.0,43.96,111.0,18.87,97.0,14.69,5.0,3.02,80.54,0
10,65.0,0.0,0.0,129.1,228.5,208.8,12.7,3.5,0.0,137.0,21.95,83.0,19.42,111.0,9.4,6.0,3.43,54.2,1
11,74.0,0.0,0.0,187.7,163.4,196.0,9.1,0.0,0.0,127.0,31.91,148.0,13.89,94.0,8.82,5.0,2.46,57.08,0
12,168.0,0.0,0.0,128.8,104.9,141.1,11.2,1.0,0.0,96.0,21.9,71.0,8.92,128.0,6.35,2.0,3.02,40.19,0
13,95.0,0.0,0.0,156.6,247.6,192.3,12.3,3.0,0.0,88.0,26.62,75.0,21.05,115.0,8.65,5.0,3.32,59.64,0
